page_id__geo	page_id_pag	page_title	page_namespace	page_len	last_edit_timestamp	geo_tag_id	gt_primary	gt_lat	gt_lon	gt_country	gt_region	gt_globe	first_edit_timestamp	edits	minor_edits	language
3492945	3492945	Klub_Foot	0	800	20140326122206	47197166	1	51.49200000	-0.22500000	GB		earth	20100308144222	5	7	es
3708408	3708408	Hyde_Park_Corner	0	1204	20140814190344	47206552	1	51.50277778	-0.15125000	GB		earth	20100506221458	6	6	es
4004956	4004956	All_England_Lawn_Tennis_and_Croquet_Club	0	2477	20150305172649	47210031	1	51.43374444	-0.21406389	GB		earth	20100625033846	15	21	es
4241614	4241614	Finchley	0	1438	20160604194235	47218631	1	51.59900000	-0.18700000			earth	20101010071459	15	6	es
4664462	4664462	Brooklands	0	2636	20150305170517	47253155	1	51.35000000	-0.47222222			earth	20110605184921	4	6	es
4814098	4814098	Haymarket	0	2725	20160702092659	47325254	1	51.50833333	-0.13111111	GB		earth	20110820145232	14	9	es
4971759	4971759	Claremont_House	0	1369	20160225162733	47333080	1	51.35944444	-0.36833333	GB		earth	20111202041038	7	4	es
5026064	5026064	Great_Ormond_Street_Hospital	0	911	20161104101906	47335436	1	51.52250000	-0.12020000			earth	20120110004731	4	3	es
6231937	6231937	East_Finchley	0	2046	20150127202226	47366102	1	51.59016000	-0.17534000			earth	20140320142547	15	2	es
6598615	6598615	Avenida_de_las_Estrellas_de_Londres	0	1870	20151123014907	47374853	1	51.51166667	-0.12333333	GB		earth	20150206195931	6	3	es
1838743	1838743	Denmark_Street	0	1503	20160302112345	47397568	1	51.51527778	-0.12944444	GB		earth	20080816144257	12	10	es
2420904	2420904	Plaza_Bedford	0	2302	20140607195736	47398383	1	51.51891111	-0.13010833			earth	20090408145104	7	9	es
3105111	3105111	White_Lodge	0	10560	20160225171110	47398417	1	51.44520000	-0.26480000	GB	KTT	earth	20091125182309	6	20	es
4108483	4108483	Bond_Street	0	3802	20151013121718	47414569	1	51.51260000	-0.14480000	GB		earth	20100729190125	9	9	es
5346195	5346195	Water_Polo_Arena	0	1962	20160214201751	47421653	1	51.54153000	-0.01292000	GB		earth	20120812225035	13	5	es
580558	580558	Harley_Street	0	1629	20161221011441	47478261	1	51.52060000	-0.14770000	GB		earth	20061015234111	19	18	es
2481929	2481929	Whitechapel_Road	0	1407	20160516182559	47480399	1	51.51833333	-0.06333333			earth	20090506203356	10	10	es
2338898	2338898	London_Academy_of_Music_and_Dramatic_Art	0	2559	20160923233834	47535282	1	51.49055556	-0.21444444	GB		earth	20090301203116	46	18	es
4795456	4795456	Thames_Embankment	0	1501	20150202113239	47603616	1	51.49652000	-0.12455000	GB		earth	20110810175316	6	10	es
